LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
2,1,2,1,3,4,4,1,1,0,0,2710,2306,846,377,384,414,0,494,0,0,0,0,1
12,1,2,2,5,1,4,2,2,2,3,2064,1547,2053,2344,2452,2402,0,699,885,946,0,1797,1
9,1,2,2,13,2,2,2,2,2,2,10068,6073,5886,6135,6365,6480,1211,1185,885,946,949,3576,-1
5,1,2,1,16,2,2,2,2,2,2,12731,12968,13353,10118,10391,10482,1674,1674,1079,1043,1018,928,-1
5,0,2,1,36,1,2,1,2,2,2,4628,3418,11227,8476,7794,7708,1674,7301,5346,4841,647,630,-1
5,0,1,2,16,2,2,2,2,2,2,15166,14322,14427,7884,8034,8164,2111,1490,586,946,949,741,-1
51,0,1,2,8,2,2,2,2,2,2,22477,22215,21946,21538,20990,20584,7585,7345,6958,5977,5525,5471,-1
10,1,2,2,2,2,1,1,2,2,1,5679,611,779,499,294,824,290,427,0,542,1549,1420,-1
14,1,3,1,7,2,2,4,2,2,2,5507,6092,5505,5542,5506,2605,2748,0,382,946,949,928,-1
2,0,3,2,14,0,0,0,0,1,1,306,347,364,377,5826,6039,0,0,0,5466,1069,0,-1
20,1,3,2,13,2,2,4,2,2,1,5448,4903,3271,1962,1626,2612,1952,12,46,274,2979,54,-1
26,1,1,2,30,1,1,1,1,1,3,5773,8380,4884,4279,8791,5978,6954,5449,5034,6050,0,2921,-1
64,1,2,2,20,1,2,1,1,1,1,5742,3733,3642,3571,3601,2219,706,4419,4416,4236,2432,0,-1
7,0,2,2,9,3,4,4,2,2,3,15282,15336,15191,15339,11699,11645,2650,0,2579,2530,1397,0,1
25,0,1,2,8,2,2,2,2,2,2,15768,15315,15027,14773,14382,14090,2486,2463,2579,2530,2512,2502,-1
5,1,3,3,2,3,4,2,2,2,2,13672,10027,9755,10273,10635,10718,0,1185,983,1136,1224,1023,-1
2,0,1,2,3,2,2,4,4,3,3,6589,7317,6977,7407,7247,7694,2650,0,1362,0,1521,0,1
32,0,1,1,28,2,2,2,1,1,1,21892,21550,20679,15632,3374,19715,5709,5454,7263,5940,6863,6456,-1
37,1,1,1,28,3,0,0,0,0,0,306,347,364,377,384,414,0,0,0,0,0,0,-1
18,1,1,2,8,3,0,0,0,0,0,306,347,364,377,384,414,0,0,0,0,0,0,-1
13,1,3,2,18,2,2,2,2,2,1,11441,9635,8932,8380,5510,1098,2486,1222,885,1821,882,6259,-1
12,1,2,1,18,1,1,1,1,1,1,508,558,568,377,816,619,237,219,0,593,287,0,1
