LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
24,0,4,2,55,6,6,1,9,4,4,18288,797,19989,13651,19320,4723,6987,2051,4037,2567,1198,4852,-1
29,0,5,2,47,6,1,7,1,7,3,3455,15769,14333,17838,11173,16816,6750,1869,6292,2582,5127,548,-1
5,0,0,1,29,9,2,3,4,8,1,18477,8490,107,9176,12502,18504,2420,3955,6966,6161,1142,3734,-1
28,0,0,1,51,8,6,0,7,8,9,6130,124,21477,6980,14689,11,236,5500,5778,5362,3917,3943,-1
68,0,1,1,35,8,2,1,3,2,9,11949,12633,17386,15841,17788,6532,1110,7670,5460,2748,4847,2001,-1
59,0,0,2,26,8,10,7,8,3,9,20707,5207,1423,3523,1215,2140,2410,1322,4785,94,5080,1279,-1
53,0,0,0,46,10,4,0,9,5,1,1050,6409,6877,4561,20059,19131,5740,473,6779,6759,1167,2696,-1
64,0,1,1,25,9,9,9,1,5,2,11162,3371,12078,3347,17523,18370,5374,5882,3820,5453,2467,1596,-1
70,0,1,1,18,9,6,10,7,3,2,856,1929,3629,17228,11143,6917,2992,6501,1994,1645,3074,3571,-1
12,0,1,3,30,10,9,2,6,3,6,14939,4128,7956,16507,944,7448,826,4580,6551,5973,660,3291,-1
2,0,5,3,8,1,7,4,0,3,7,9878,13691,8295,19345,10947,10759,5850,1905,2992,6320,2198,1198,-1
13,0,3,2,20,5,5,5,3,7,0,6175,3164,6138,16852,11284,10686,7077,853,7230,4683,2260,608,-1
10,0,0,1,16,9,4,4,7,6,6,1732,16286,6681,11516,18349,17068,5848,3399,3731,5342,1910,2050,-1
27,0,1,0,9,10,0,2,4,4,1,8874,14695,7721,13703,3020,14088,2011,1532,6923,3870,6508,4468,-1
51,0,4,0,5,4,5,7,0,8,7,22093,6137,8663,13037,216,1956,1023,1941,958,2358,4883,2140,-1
19,0,0,3,52,10,10,5,0,6,1,215,4328,5549,7633,14788,11727,3245,4404,1368,3991,3079,491,-1
3,0,1,2,19,0,4,5,7,6,2,22363,11232,7141,1986,346,4894,1236,6126,2823,5968,1904,6510,-1
54,0,1,0,54,10,7,1,9,4,2,20314,8295,12159,9393,18031,3633,3745,2716,4521,2527,1865,6157,-1
41,0,1,0,1,9,0,0,10,4,1,6869,4630,11634,20931,9839,6488,1108,6240,1028,1233,5973,4585,-1
77,0,2,1,4,10,5,6,7,9,8,648,13084,6214,14178,11824,4184,4718,7313,6004,4768,1139,483,-1
24,0,0,3,13,8,10,10,7,3,9,9316,11721,3290,11873,14709,12686,5588,6012,7283,905,6011,2937,-1
42,0,0,2,15,10,5,7,1,6,8,10164,13172,18330,11061,12609,601,2610,4571,1610,4210,2700,1302,-1
15,0,4,1,36,4,7,3,2,5,8,16997,3767,13657,13994,17987,8557,7703,1351,5528,1420,5528,1330,-1
10,0,2,1,37,8,9,4,8,1,8,7468,10283,19491,8003,6940,17120,4791,4482,2281,4488,4216,1973,-1
75,0,0,1,8,6,9,0,0,8,7,18075,18504,20051,7871,20028,11653,1718,176,4175,1867,2124,3861,-1
64,0,2,0,19,9,6,7,7,2,2,11562,10454,3504,9576,2577,6074,1641,2903,5433,5748,1194,2648,-1
65,0,2,3,55,9,2,6,4,8,2,2568,15766,8869,3166,1249,377,7933,6870,6199,6309,180,3227,-1
44,0,6,3,55,7,6,3,6,3,8,186,19787,13674,10974,1399,9369,7907,998,6934,4719,4268,2355,-1
69,0,0,1,28,5,8,10,3,8,4,3081,18453,10876,11372,17488,11618,6233,2045,7068,3568,6167,6805,-1
1,0,3,0,13,4,7,6,1,7,8,18036,1967,10590,15448,14531,7722,5576,2218,367,1462,890,961,-1
8,0,6,3,41,2,9,6,10,5,2,22504,3770,4012,4558,11786,601,4751,4511,4866,98,1301,3174,-1
60,0,2,3,21,6,1,5,4,3,2,19263,9150,3901,10460,2698,3746,1671,4028,4106,3220,1190,2774,-1
27,0,2,3,32,8,8,2,9,8,4,6410,7239,11928,1522,19513,11854,1978,2155,4562,4113,2169,2027,-1
37,0,2,2,27,9,7,8,10,1,0,395,18885,3480,14946,7091,8867,4772,774,356,2985,1415,795,-1
5,0,4,0,8,4,8,0,4,9,8,7576,6174,1857,18998,10834,20322,5878,1449,1317,5792,1627,6134,-1
43,0,1,2,54,9,1,0,5,6,7,5474,3927,638,1439,8377,18795,7434,1881,6635,4970,2398,1119,-1
23,0,1,0,42,4,10,3,1,9,1,1774,1557,16643,10360,19369,18648,898,2036,1030,3449,1059,1594,-1
55,0,1,0,12,9,5,8,3,0,6,4181,5901,18090,17398,3478,20120,3026,4964,3666,5251,3454,5808,-1
27,0,0,1,13,10,4,5,4,0,2,1003,6195,9494,17763,12543,4654,855,3746,2094,1897,6671,4861,-1
29,0,2,0,35,9,6,5,7,1,0,1444,338,12387,6570,14963,2986,3554,1748,1740,793,2645,4096,-1
9,0,0,0,50,4,3,3,0,9,1,13916,988,6025,2530,4673,3089,5239,2493,2838,5021,5609,4284,-1
27,0,1,3,40,9,1,0,2,6,8,20347,20402,17854,18317,1281,19124,7530,1067,4647,2788,1337,6356,-1
47,0,5,1,18,7,4,0,5,6,1,5369,6341,1636,18476,5062,9874,6794,1153,889,6621,6044,5861,-1
18,0,1,0,27,8,4,10,9,6,9,11023,13459,3196,9704,555,13120,3760,1712,130,5591,3705,2581,-1
64,0,0,2,47,10,3,9,6,3,2,6773,5128,12445,2006,20896,6312,3023,3361,708,4477,2418,180,-1
51,0,4,1,22,5,0,0,3,3,1,3787,20763,1873,20521,7836,8548,1456,6592,609,5267,2077,6366,-1
28,0,6,3,36,4,6,2,1,4,9,20347,15830,12632,5110,2770,11178,271,1090,1397,3178,5210,1473,-1
3,0,4,1,17,5,7,2,2,3,5,16843,12781,9307,12331,6799,5235,4825,15,513,1762,5153,2570,-1
49,0,2,1,15,10,9,4,5,8,2,2933,17201,18263,2237,19742,16378,7605,1186,4393,5088,3303,3685,-1
79,0,2,1,54,10,4,8,1,5,8,2608,15492,11028,9940,14120,1162,3900,4028,5025,4604,3237,3017,-1
57,0,0,2,17,9,8,0,6,0,8,6211,11092,16135,12904,7778,17340,3703,5479,3864,1797,1823,4732,-1
33,0,0,1,3,8,5,5,8,3,0,925,12803,10608,3,3794,3776,4151,2962,3308,908,1841,2460,-1
13,0,1,1,34,9,7,9,4,8,4,17718,2874,13045,14140,2896,19053,3053,1264,507,2615,5905,5153,-1
17,0,3,1,44,2,0,7,8,4,9,20300,13439,1860,3303,3194,2575,2143,6786,5596,3417,3248,5509,-1
16,0,1,3,31,10,9,0,0,2,4,4676,13537,17283,8187,11583,4406,1701,6296,870,3294,5689,743,-1
35,0,2,3,44,5,2,0,3,9,2,14397,19435,10536,4264,7626,13927,1818,2106,2601,2760,1259,361,-1
67,0,1,3,0,9,0,2,7,2,0,16068,10683,17323,12542,15930,19944,5990,789,3488,1211,5545,6501,-1
80,0,4,3,23,4,8,9,3,5,6,6557,16947,6307,17760,17517,13083,2811,423,1924,1018,5953,2684,-1
12,0,1,1,27,9,1,6,1,7,3,5343,1048,12054,6898,13869,15769,5282,6732,870,5211,5729,5222,-1
58,0,5,1,43,6,2,0,4,9,4,9076,17465,10021,20314,3780,20326,7381,1047,592,2328,5686,4211,-1
34,0,3,1,3,4,5,2,3,9,2,1422,11916,14240,14927,5998,899,7097,1026,3428,1737,1873,5105,-1
20,0,6,0,4,4,9,9,9,2,4,13704,2129,2016,17899,6666,3022,5093,1980,1890,1768,944,6195,-1
15,0,0,0,8,0,1,8,7,9,0,19760,10476,6109,17052,2059,2284,5006,6040,750,67,1403,2307,-1
43,0,1,0,16,9,7,3,4,4,9,14533,11649,7243,3259,9189,11762,7436,1589,2867,4839,1105,6241,-1
58,0,1,3,6,8,9,6,9,0,2,608,1788,19324,2842,4527,15643,6157,5210,2712,3705,5762,6087,-1
44,0,0,2,49,8,7,10,7,3,5,9228,19357,11999,3982,16190,14001,2176,1242,6946,4799,6516,5090,-1
56,0,5,0,8,0,8,0,3,7,5,17567,9677,1446,9575,16958,12466,81,5902,2688,288,4265,4662,-1
27,0,4,0,10,4,10,4,4,4,9,4380,14841,3408,3770,1842,8190,2991,81,1120,6685,5436,5138,-1
3,0,2,1,35,8,1,9,7,6,8,1738,5144,15427,12117,17885,5389,3368,7721,1743,3448,2464,2231,-1
37,0,0,2,2,9,7,7,5,5,0,10183,10648,8249,17444,3168,8797,3528,4096,6071,2272,3060,2197,-1
70,0,4,3,27,3,4,8,9,8,7,5255,4878,12826,17103,11462,19498,1504,542,2467,143,5035,6231,-1
13,0,0,3,35,10,6,4,9,3,1,1824,17786,6262,14124,6315,18181,1394,6715,2000,3867,1624,333,-1
75,0,0,1,11,7,6,4,10,8,9,2651,13017,8756,13940,4710,11329,6550,2445,2789,1976,411,3093,-1
37,0,0,0,41,9,1,10,6,9,5,10638,18231,2891,12078,4501,13815,1059,299,5170,1983,4316,1300,-1
17,0,5,1,1,5,7,0,4,5,8,21343,1578,10327,8419,20737,10527,7217,1742,5256,1228,2378,1219,-1
78,0,6,0,12,6,0,9,6,4,2,8863,0,16026,12110,15356,18804,4013,714,2606,2942,6515,403,-1
76,0,1,1,16,9,6,8,6,1,7,18504,4781,21415,12262,611,8654,7653,7891,552,3268,1081,2373,-1
12,0,3,1,53,0,10,1,6,7,2,20076,8192,15966,17401,14902,6465,1453,2857,4531,4669,989,6174,-1
22,0,4,0,2,5,5,5,10,3,6,21561,15622,393,3667,20153,15781,4907,1778,6815,3497,732,4187,-1
17,0,2,1,23,4,6,7,8,3,1,1119,14788,17185,7999,18101,16794,94,368,2460,4010,2864,1555,-1
10,0,0,3,34,10,8,3,5,9,7,17066,2998,7290,11962,14333,9337,5480,324,4086,2466,1843,544,-1
75,0,2,3,36,7,2,7,0,6,7,7170,11502,8286,2723,15805,1730,6489,1310,573,2990,1427,4079,-1
33,0,4,0,53,4,3,10,1,8,4,18937,20678,16081,8537,1605,18891,2404,2152,7030,6829,3953,6441,-1
73,0,0,1,48,10,6,3,6,0,3,4112,9614,10271,8373,19147,1652,5035,1344,3236,5550,3957,6296,-1
63,0,2,2,32,9,0,4,2,6,2,18684,1492,21001,16467,9500,900,7892,7180,5404,2691,3394,5628,-1
65,0,1,1,54,9,6,7,1,2,8,13213,15275,3057,11031,13152,12758,2675,1895,3966,3360,2295,5303,-1
30,0,0,1,18,8,2,5,2,6,8,7043,8818,15705,9251,10154,5614,3684,2974,3035,4671,3878,813,-1
39,0,1,3,8,8,10,6,4,3,6,1063,18342,16877,19092,6638,1247,6181,6396,3908,1855,6052,935,-1
34,0,5,0,54,6,4,1,8,6,8,3460,16060,4902,7732,7185,269,2264,1854,7064,6018,6712,1527,-1
24,0,1,0,36,8,7,5,1,3,4,11900,10762,5909,10576,16047,14669,547,4332,4729,4878,98,2438,-1
37,0,1,1,41,10,5,8,6,7,3,65,11590,17099,18417,657,19646,3420,1287,2767,3128,3072,4278,-1
4,0,6,2,46,0,1,0,3,6,5,21293,20569,590,15151,746,6459,4713,7643,1048,6575,179,5711,-1
31,0,2,2,21,4,4,8,6,8,2,8284,7676,9807,11463,10914,6923,1720,1037,4428,4107,4189,3299,-1
18,0,2,3,45,9,9,1,0,3,3,11473,13455,19736,2091,7346,19334,3182,3541,6828,2574,1884,760,-1
57,0,1,0,15,9,4,10,1,0,1,21409,16134,10867,19189,9397,11660,280,4027,5642,6091,5449,1010,-1
14,0,1,3,44,8,3,10,10,0,0,7727,11880,5232,17405,13673,3693,6290,6072,5660,3224,2339,2149,-1
40,0,1,3,37,9,2,0,6,9,7,13944,419,4265,15362,15448,14278,6436,6502,5030,2654,4641,1638,-1
10,0,2,1,23,9,7,1,5,5,6,3211,11958,10590,11357,4315,20568,4466,516,3358,2630,1955,4003,-1
74,0,0,1,44,10,8,10,3,3,1,4510,809,19476,7679,7125,18284,1274,6652,7454,6301,3061,335,-1
75,0,0,3,55,9,7,2,6,5,6,20417,1402,2226,2037,15444,8179,3230,7396,6389,5840,2876,2952,-1
4,0,4,2,40,6,1,3,3,5,9,13686,1978,4561,5229,16681,19913,2822,199,3612,5280,5125,551,-1
51,0,5,0,46,5,0,0,10,5,4,16288,11400,11466,5024,10365,11643,5881,2518,2481,1811,1903,2670,-1
16,0,0,0,43,10,7,1,2,5,3,11493,14729,1251,9995,8169,12268,6178,3235,2599,49,2860,1510,-1
13,0,0,3,15,8,7,0,7,9,1,5405,1830,2603,17180,15237,5583,771,6444,7480,2482,255,344,-1
76,0,1,3,50,9,2,0,4,3,8,1996,19122,16854,9833,15827,19027,366,7289,3813,2900,106,1325,-1
78,0,2,1,35,10,9,3,6,2,2,16289,15758,13880,780,90,7113,7448,50,692,6115,3381,705,-1
5,0,3,1,40,4,10,1,3,9,7,6802,20708,13757,8266,13236,20136,5944,1495,867,1999,6785,3097,-1
57,0,2,0,10,9,7,0,1,0,8,22467,21308,21392,8887,3383,1716,2404,740,6685,2162,5110,4800,-1
10,0,1,0,42,10,2,4,8,1,3,1292,21753,12515,2500,12800,956,579,2913,2707,4426,6590,6541,-1
63,0,6,2,26,6,10,9,0,5,4,9451,13443,21046,4617,9932,16969,1980,749,2523,1866,3431,4386,-1
50,0,2,0,17,10,4,8,6,4,0,7894,15916,2783,4849,12390,11272,1366,1576,3290,444,2262,3529,-1
39,0,2,0,16,9,1,0,8,5,5,16393,4629,19127,5600,10981,20274,2265,6344,7360,6918,5578,5690,-1
80,0,5,1,32,7,5,9,0,7,9,10129,20949,924,3357,5300,3352,6788,2451,3779,4023,6242,3963,-1
43,0,1,2,52,10,4,4,5,1,7,3499,6053,20505,14032,20286,6673,3494,3381,3093,3800,5026,6234,-1
76,0,1,0,45,7,5,9,7,6,0,5410,8437,12090,9970,15796,3933,3800,2363,602,1889,3828,1016,-1
50,0,0,0,12,9,10,3,8,1,2,16098,12327,13612,14504,8458,389,4788,3299,2363,6344,2484,1700,-1
1,0,6,1,52,7,9,3,5,6,2,15907,13300,3614,12571,11931,5872,2559,1288,1889,3097,3848,1576,-1
11,0,4,2,55,6,5,9,4,9,7,17797,4882,2718,14855,9172,6059,5359,2411,3974,2503,4604,1935,-1
49,0,1,3,21,8,7,8,8,8,5,19569,502,4845,17411,2299,5898,3762,713,6187,5573,217,4340,-1
71,0,4,3,34,5,1,1,2,4,0,2620,20094,4737,12749,6585,6171,5422,3988,3147,5841,5622,2174,-1
80,0,0,2,12,9,1,7,5,4,9,20448,8753,6204,18905,5687,10139,3232,6783,5729,5915,3504,5589,-1
21,0,1,2,52,8,8,9,3,6,6,1855,21866,6831,20965,16638,11417,2295,2403,2995,4247,3634,4004,-1
73,0,4,1,7,4,9,3,3,4,7,16262,1819,16855,18211,7745,4064,5765,463,4286,2851,2353,2726,-1
53,0,1,3,40,9,6,1,8,5,6,14340,55,11354,15223,18449,11284,5407,1998,7435,2614,2854,6331,-1
67,0,2,3,40,10,4,0,9,6,1,4116,18964,12505,11514,11236,10899,275,991,5659,260,6275,2170,-1
19,0,0,3,51,8,7,7,9,7,0,13294,14590,6142,5437,19287,14913,5527,3057,1353,6367,2903,912,-1
60,0,1,3,20,9,0,0,5,9,6,10360,4266,13088,17196,10102,4852,550,3927,6420,5731,157,4472,-1
9,0,4,2,47,4,6,10,6,8,4,17307,16782,11012,19381,2988,15729,246,991,6359,3522,3167,5525,-1
16,0,0,1,35,9,3,2,5,4,7,3279,5798,10661,4931,3007,2113,6324,3454,4887,6021,581,1334,-1
34,0,1,0,18,9,0,8,7,8,1,11399,12928,6839,19659,6969,18821,3002,7705,6128,1067,1856,6672,-1
42,0,1,2,26,8,6,10,9,3,6,1977,6229,4531,11458,7780,15483,7317,4442,6906,2207,625,1846,-1
2,0,2,3,34,8,3,4,0,3,0,18860,13104,1883,7980,12878,4089,1391,2787,6380,5266,1478,3367,-1
48,0,2,1,26,8,9,5,2,0,1,17218,15401,14052,4694,13135,2043,1613,2832,1837,410,2214,3164,-1
58,0,0,0,43,8,4,1,10,9,3,2328,10661,4704,8738,17019,11468,5793,1189,5006,95,333,6713,-1
27,0,5,0,7,5,7,10,0,6,4,8325,138,15323,561,15859,13173,3013,2439,5837,2982,2684,581,-1
1,0,2,1,18,9,4,4,8,5,5,11885,18113,16143,7421,16055,5797,4719,5426,2464,80,3236,3082,-1
62,0,1,2,19,10,6,6,9,9,3,8177,15252,4509,4208,14247,8576,2481,6221,424,6818,2785,512,-1
51,0,1,0,51,9,2,10,0,1,0,4546,6322,3460,14722,3640,272,4800,145,6250,5095,6665,3069,-1
23,0,1,0,2,9,5,6,2,7,2,1725,17915,10059,4637,11653,19456,1215,6898,2041,1009,2517,3502,-1
50,0,1,0,39,4,8,3,9,7,2,7713,11207,18324,11944,11183,454,1029,966,3829,5007,4124,53,-1
1,0,4,2,50,7,6,2,2,2,4,1153,20455,9550,10729,19439,8117,871,1364,5426,960,968,6728,-1
